0,1,2,3,4,5,6,bowler,Innings,Runs,Extras,Dismissals,Balls Bowled,4s,6s,0s,1s,2s,Highest Conceeded,Strike Rate,Bowling Average,economy,Runs Conceded
2.0,3.0,0.0,0.0,0.0,0.0,0.0,T Shamsi,5,181,4,3,120,14.0,8.0,32.0,55.0,11.0,51,40.0,60.333333333333336,9.05,185
1.0,2.0,2.0,0.0,1.0,0.0,0.0,T Thushara,6,152,12,10,137,15.0,4.0,67.0,48.0,10.0,32,13.7,15.2,6.656934306569343,164
15.0,36.0,20.0,5.0,2.0,0.0,0.0,TA Boult,78,2412,110,99,1795,289.0,82.0,841.0,542.0,99.0,62,18.13131313131313,24.363636363636363,8.062395543175487,2522
23.0,13.0,8.0,7.0,0.0,1.0,0.0,TG Southee,52,1603,92,55,1174,167.0,57.0,516.0,390.0,85.0,56,21.345454545454544,29.145454545454545,8.192504258943782,1695
4.0,6.0,2.0,1.0,0.0,0.0,0.0,TK Curran,13,416,16,13,241,33.0,23.0,70.0,106.0,20.0,53,18.53846153846154,32.0,10.356846473029046,432
6.0,3.0,2.0,0.0,0.0,0.0,0.0,TL Suman,11,195,3,7,152,8.0,10.0,45.0,75.0,14.0,29,21.714285714285715,27.857142857142858,7.697368421052632,198
20.0,5.0,0.0,0.0,0.0,0.0,0.0,TM Dilshan,25,361,7,5,271,27.0,15.0,85.0,134.0,13.0,30,54.2,72.2,7.992619926199262,368
3.0,1.0,1.0,0.0,0.0,0.0,0.0,TM Head,5,81,0,3,48,3.0,5.0,7.0,27.0,6.0,30,16.0,27.0,10.125,81
2.0,1.0,0.0,0.0,0.0,0.0,0.0,TP Sudhindra,3,132,5,1,71,9.0,9.0,22.0,26.0,8.0,46,71.0,132.0,11.154929577464788,137
3.0,4.0,2.0,1.0,0.0,0.0,0.0,TS Mills,10,328,21,11,209,37.0,14.0,84.0,71.0,11.0,52,19.0,29.818181818181817,9.416267942583731,349
4.0,2.0,1.0,0.0,0.0,0.0,0.0,TU Deshpande,7,246,14,4,145,32.0,8.0,55.0,47.0,10.0,40,36.25,61.5,10.179310344827586,260
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tejas Baroka,1,33,0,0,21,2.0,2.0,6.0,9.0,2.0,33,inf,inf,9.428571428571429,33
2.0,0.0,0.0,0.0,0.0,0.0,0.0,Tilak Varma,2,13,0,0,12,2.0,0.0,5.0,5.0,0.0,7,inf,inf,6.5,13
49.0,39.0,23.0,16.0,5.0,0.0,0.0,UT Yadav,132,3791,250,153,2840,427.0,131.0,1278.0,936.0,161.0,64,18.562091503267975,24.77777777777778,8.009154929577464,4041
0.0,2.0,2.0,0.0,2.0,0.0,0.0,Umar Gul,6,166,32,14,141,17.0,5.0,73.0,48.0,10.0,37,10.071428571428571,11.857142857142858,7.063829787234042,198
6.0,5.0,2.0,2.0,0.0,2.0,0.0,Umran Malik,17,511,40,25,371,66.0,18.0,191.0,91.0,18.0,47,14.84,20.44,8.264150943396226,551
22.0,3.0,1.0,0.0,0.0,0.0,0.0,V Kohli,26,354,17,5,257,25.0,11.0,64.0,140.0,24.0,36,51.4,70.8,8.264591439688715,371
1.0,5.0,2.0,1.0,0.0,0.0,0.0,V Pratap Singh,9,289,11,12,204,31.0,10.0,82.0,73.0,13.0,43,17.0,24.083333333333332,8.5,300
10.0,4.0,1.0,0.0,0.0,0.0,0.0,V Sehwag,15,233,3,6,137,19.0,16.0,46.0,53.0,4.0,30,22.833333333333332,38.833333333333336,10.204379562043796,236
11.0,10.0,1.0,0.0,0.0,0.0,0.0,V Shankar,22,323,21,12,243,29.0,12.0,97.0,106.0,13.0,37,20.25,26.916666666666668,7.9753086419753085,344
3.0,0.0,2.0,0.0,0.0,0.0,0.0,VG Arora,5,161,4,4,107,20.0,6.0,42.0,39.0,3.0,41,26.75,40.25,9.02803738317757,165
23.0,9.0,17.0,1.0,0.0,0.0,0.0,VR Aaron,50,1401,126,46,1002,159.0,52.0,481.0,310.0,52.0,60,21.782608695652176,30.456521739130434,8.389221556886227,1527
6.0,1.0,1.0,0.0,0.0,0.0,0.0,VR Iyer,8,112,5,3,76,8.0,5.0,20.0,40.0,5.0,29,25.333333333333332,37.333333333333336,8.842105263157894,117
8.0,6.0,2.0,2.0,0.0,0.0,0.0,VRV Singh,18,531,18,16,364,58.0,16.0,128.0,137.0,30.0,55,22.75,33.1875,8.752747252747252,549
8.0,4.0,1.0,0.0,0.0,0.0,0.0,VS Malik,13,254,14,6,207,30.0,6.0,94.0,69.0,10.0,28,34.5,42.333333333333336,7.362318840579709,268
2.0,0.0,0.0,0.0,0.0,0.0,0.0,VS Yeligati,2,53,8,0,30,7.0,2.0,10.0,13.0,0.0,42,inf,inf,10.6,61
5.0,6.0,4.0,1.0,0.0,1.0,0.0,VY Mahesh,17,478,33,22,346,47.0,20.0,143.0,130.0,17.0,49,15.727272727272727,21.727272727272727,8.289017341040463,511
3.0,4.0,0.0,0.0,0.0,0.0,0.0,WA Mota,7,94,4,4,73,4.0,5.0,27.0,30.0,9.0,25,18.25,23.5,7.726027397260275,98
7.0,11.0,5.0,2.0,1.0,0.0,0.0,WD Parnell,26,651,80,31,577,80.0,11.0,283.0,192.0,34.0,39,18.612903225806452,21.0,6.769497400346621,731
2.0,3.0,5.0,3.0,0.0,0.0,0.0,WPUJC Vaas,13,345,19,22,284,40.0,13.0,138.0,88.0,8.0,45,12.909090909090908,15.681818181818182,7.288732394366198,364
25.0,16.0,5.0,3.0,0.0,0.0,0.0,Washington Sundar,49,1090,26,35,920,69.0,49.0,337.0,427.0,45.0,47,26.285714285714285,31.142857142857142,7.108695652173912,1116
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Y Gnaneswara Rao,1,7,0,0,6,1.0,0.0,3.0,1.0,1.0,7,inf,inf,7.0,7
5.0,2.0,1.0,0.0,0.0,0.0,0.0,Y Nagar,8,117,8,4,70,11.0,6.0,20.0,33.0,2.0,28,17.5,29.25,10.028571428571428,125
1.0,1.0,0.0,0.0,0.0,0.0,0.0,Y Prithvi Raj,2,54,3,1,30,6.0,2.0,11.0,11.0,2.0,27,30.0,54.0,10.8,57
15.0,3.0,2.0,0.0,0.0,0.0,0.0,Y Venugopal Rao,20,329,9,7,216,30.0,13.0,66.0,96.0,16.0,34,30.857142857142858,47.0,9.13888888888889,338
5.0,2.0,1.0,1.0,2.0,0.0,0.0,YA Abdulla,11,294,17,15,210,32.0,13.0,104.0,58.0,15.0,43,14.0,19.6,8.399999999999999,311
1.0,0.0,0.0,0.0,0.0,0.0,0.0,YBK Jaiswal,1,6,0,0,1,0.0,1.0,0.0,0.0,0.0,6,inf,inf,36.0,6
51.0,19.0,9.0,3.0,0.0,0.0,0.0,YK Pathan,82,1372,71,46,1147,99.0,57.0,456.0,514.0,54.0,44,24.934782608695652,29.82608695652174,7.176983435047951,1443
29.0,52.0,32.0,13.0,3.0,1.0,0.0,YS Chahal,130,3524,175,172,2864,209.0,179.0,1129.0,1242.0,171.0,51,16.651162790697676,20.488372093023255,7.382681564245811,3699
2.0,3.0,2.0,2.0,0.0,0.0,0.0,Yash Dayal,9,283,13,13,195,31.0,12.0,87.0,63.0,12.0,43,15.0,21.76923076923077,8.707692307692307,296
51.0,12.0,5.0,3.0,2.0,0.0,0.0,Yuvraj Singh,73,1064,27,39,870,59.0,40.0,282.0,422.0,74.0,35,22.307692307692307,27.28205128205128,7.337931034482758,1091
29.0,36.0,22.0,9.0,3.0,0.0,0.0,Z Khan,99,2691,169,119,2202,312.0,64.0,1005.0,743.0,142.0,50,18.50420168067227,22.613445378151262,7.332425068119891,2860
