player,batter_matches_played,runs_scored,dismissals,balls_faced,0s_scored,1s_scored,2s_scored,4s_scored,6s_scored,high_score,25_scored,50_scored,75_scored,100_scored,strike_rate_x,batting_average,notout,explosivity_rating,0_wickets_taken,1_wickets_taken,2_wickets_taken,3_wickets_taken,4_wickets_taken,5_wickets_taken,6_wickets_taken,bowler_matches_played,runs_conceded,extras_runs_conceded,wickets_taken,balls_bowled,4s_conceded,6s_conceded,0s_conceded,1s_conceded,2s_conceded,highest_conceded,strike_rate_y,bowling_average,economy,total_runs_conceded
VY Mahesh,5.0,15.0,2.0,27.0,15.0,11.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,55.55555555555556,7.5,3.0,0.0,5.0,5.0,4.0,1.0,0.0,1.0,0.0,16.0,454.0,32.0,21.0,334.0,47.0,17.0,139.0,124.0,17.0,49.0,15.904761904761905,21.61904761904762,8.155688622754491,486.0
Virat Singh,2.0,15.0,3.0,26.0,14.0,11.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,57.692307692307686,5.0,-1.0,0.04,,,,,,,,,,,,,,,,,,,,,,
Vishnu Vinod,3.0,19.0,3.0,26.0,15.0,9.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,73.07692307692307,6.333333333333333,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,
W Jaffer,8.0,130.0,7.0,121.0,64.0,41.0,6.0,14.0,3.0,50.0,1.0,1.0,0.0,0.0,107.43801652892562,18.571428571428573,1.0,0.14,,,,,,,,,,,,,,,,,,,,,,
WA Mota,8.0,56.0,5.0,75.0,30.0,40.0,4.0,2.0,0.0,25.0,1.0,0.0,0.0,0.0,74.66666666666667,11.2,3.0,0.03,3.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,94.0,4.0,4.0,73.0,4.0,5.0,27.0,30.0,9.0,25.0,18.25,23.5,7.726027397260275,98.0
WD Parnell,12.0,63.0,9.0,75.0,39.0,31.0,5.0,4.0,1.0,16.0,0.0,0.0,0.0,0.0,84.0,7.0,3.0,0.07,7.0,11.0,5.0,2.0,1.0,0.0,0.0,26.0,651.0,80.0,31.0,577.0,80.0,11.0,283.0,192.0,34.0,39.0,18.612903225806452,21.0,6.769497400346621,731.0
WP Saha,115.0,2388.0,95.0,1879.0,750.0,735.0,141.0,225.0,76.0,115.0,24.0,11.0,2.0,1.0,127.08887706226717,25.13684210526316,20.0,0.16,,,,,,,,,,,,,,,,,,,,,,
WPUJC Vaas,11.0,81.0,7.0,73.0,24.0,33.0,11.0,2.0,3.0,20.0,0.0,0.0,0.0,0.0,110.95890410958904,11.571428571428571,4.0,0.07,2.0,3.0,5.0,3.0,0.0,0.0,0.0,13.0,345.0,19.0,22.0,284.0,40.0,13.0,138.0,88.0,8.0,45.0,12.909090909090908,15.681818181818182,7.288732394366198,364.0
Washington Sundar,32.0,318.0,23.0,264.0,112.0,105.0,23.0,26.0,9.0,40.0,4.0,0.0,0.0,0.0,120.45454545454545,13.826086956521738,9.0,0.13,25.0,16.0,5.0,3.0,0.0,0.0,0.0,49.0,1090.0,26.0,35.0,920.0,69.0,49.0,337.0,427.0,45.0,47.0,26.285714285714285,31.142857142857142,7.108695652173912,1116.0
X Thalaivan Sargunam,1.0,10.0,1.0,17.0,9.0,6.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,58.82352941176471,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
