bowler,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
C de Grandhomme,0.361473272,0.578215527,0.092307692,0.05,0.601256069,0.381083701,0.320855615,0.187969925,0.627743472,0.345770225,0.7,0.24822695
CH Gayle,0.581789082,0.444418694,0.378082192,0.368,0.670439942,0.31187285,0.366545455,0.285229202,0.601106628,0.218059,0.512820513,0.265957447
CH Morris,0.587297559,0.498053829,0.348571429,0.345283019,0.656457206,0.411460341,0.460358056,0.246710526,0.559864935,0.264546854,0.604511278,0.276265875
CJ Anderson,0.433371064,0.464327098,0.265116279,0.126666667,0.644431899,0.411154565,0.259701493,0.132723112,0.370909952,0.304322128,0.531428571,0.149903288
CJ Jordan,0.5087581,0.437236541,0.278672986,0.18490566,0.683899941,0.44540021,0.411764706,0.28340081,0.47793026,0.274640626,0.497297297,0.181245075
CJ McKay,0.75,0.568945539,0.3,0.2,0.698204938,0.455552625,0.466666667,0.368421053,0.21806542,0.467676395,0.4,0.070921986
CK Langeveldt,0.521070693,0.537659328,0.306382979,0.342857143,0.694275985,0.572276444,0.545454545,0.263157895,0.569647195,0.297685014,0.696296296,0.333333333
CR Brathwaite,0.497064083,0.588313193,0.370909091,0.242857143,0.593542046,0.410930152,0.329824561,0.164912281,0.574084932,0.422977466,0.5,0.177304965
CR Woakes,0.546489448,0.529663963,0.358441558,0.23,0.721411213,0.428064654,0.46779661,0.302631579,0.506611698,0.276211999,0.530769231,0.183510638
CRD Fernando,0.525,0.560205264,0.36,0.3,0.699574049,0.426114482,0.608450704,0.421052632,0.56339547,0.373634493,0.624,0.296352584
CV Varun,0.592333251,0.400189613,0.405882353,0.418181818,0.673591214,0.402921646,0.417472699,0.321557318,0.590585508,0.277529861,0.499459459,0.292553191
D Wiese,0.50759255,0.493404047,0.314754098,0.2,0.594456156,0.222236877,0.255483871,0.119782214,0.669073628,0.411464105,0.620689655,0.39893617
D du Preez,0.525757576,0.707995365,0,0,0.521437728,0.52993933,0.4,0.210526316,0.58082754,0.471739934,0.8,0.425531915
DAJ Bracewell,0.553030303,0.749710313,0.4,0.133333333,0.633572857,0.411237141,0.4,0.210526316,0.587707753,0.36608792,0.8,0.212765957
DE Bollinger,0.598871279,0.5659659,0.459130435,0.586666667,0.782224288,0.719862833,0.533333333,0.421052632,0.55563976,0.253443453,0.607692308,0.275549355
