bowler,bowler_id,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
DJ Muthuswami,456,7.3478260869565215,5.5,0.8333333333333334,2.5,-0.25,42.0,0.6666666666666666,1.3333333333333333,-0.4460431654676267,11.75,0.5072463768115942,2.3333333333333335
DJ Willey,90,-0.8500000000000014,-4.666666666666666,0.3333333333333333,1.5,-2.9993098688750868,-2.0,0.21739130434782608,0.8333333333333334,0.27822944896115587,-57.57142857142857,0.3950617283950617,2.4615384615384617
DJG Sammy,281,-3.377857142857142,0.5,0.16666666666666666,0.5714285714285714,-0.359977216631858,5.800766283524904,0.36024844720496896,2.1481481481481484,-2.3928571428571432,4.0,0.25,1.5
DL Chahar,471,0.9816388336073372,1.3903508771929811,0.28346456692913385,2.0,0.7424153870676395,-21.5,0.28735632183908044,2.272727272727273,-0.06256932584822561,1.7594771241830074,0.4786494538232373,2.3173076923076925
DL Vettori,333,1.3462849352419912,-7.090702947845804,0.3006134969325153,1.96,1.1968811515748028,-0.7354458364038301,0.35546875,3.4339622641509435,0.9652156361434425,11.166666666666664,0.43820224719101125,3.0
DNT Zoysa,448,1.3040877367896293,-2.25,0.35294117647058826,1.5,-1.9468085106382986,19.333333333333332,0.25,0.6,-0.9107981220657289,-18.25,0.4166666666666667,2.142857142857143
DP Nannes,297,-0.5113375443773336,-1.2296466973886329,0.34146341463414637,1.6666666666666667,-0.014114980424478674,-73.38235294117646,0.33695652173913043,2.2142857142857144,1.919797044685776,1.4634581105169353,0.5609756097560976,3.8333333333333335
DP Vijaykumar,369,1.33229813664596,-10.555555555555555,0.13043478260869565,0.6,1.567164179104477,-0.6666666666666679,0.30434782608695654,2.3333333333333335,0.762191780821917,3.1666666666666643,0.53,2.5238095238095237
DR Sams,309,-3.414376321353064,-24.041666666666664,0.22727272727272727,0.7142857142857143,-0.1444877253374397,-1.2814814814814817,0.34210526315789475,2.2941176470588234,1.0891423985324469,-3.583333333333332,0.4943820224719101,3.142857142857143
DR Smith,259,-3.106291165114694,6.4732142857142865,0.25,0.7083333333333334,0.3820510106889614,0.8698412698412703,0.3207070707070707,2.1166666666666667,-4.278201219512196,6.494117647058822,0.375,1.0434782608695652
DS Kulkarni,5,0.5312507301572484,-0.12385844748858332,0.3056379821958457,1.5147058823529411,-0.2769280587187648,8.159574468085108,0.3333333333333333,1.8918918918918919,0.004282705427787192,1.7598584428715895,0.4955312810327706,2.376190476190476
DT Christian,328,-1.8367590987868283,-4.497822931785196,0.255,1.1333333333333333,0.05666876642033092,-3.881154499151105,0.3402061855670103,2.8947368421052633,-1.259164849907764,3.51923076923077,0.449438202247191,2.051282051282051
DW Steyn,93,1.8405494909849143,-0.16005121638924535,0.35161290322580646,2.0373831775700935,1.162390495084816,-4.513106159895152,0.44584382871536526,3.2181818181818183,1.2734775947912675,-5.679292929292927,0.5571428571428572,3.565714285714286
FH Edwards,533,0.7059465357337693,-15.142857142857142,0.2978723404255319,1.2727272727272727,-0.05263157894736814,11.75,0.5,2.0,2.7074303405572753,-2.0,0.6578947368421053,5.555555555555555
Fazalhaq Farooqi,442,-4.252032520325205,-4.333333333333334,0.16666666666666666,0.42857142857142855,0.7969924812030076,-7.375,0.25,1.2,4.36923076923077,48.0,0.5,3.75
GB Hogg,570,2.94109589041096,-0.16149068322981464,0.4,2.769230769230769,-0.003832624786896055,1.7665782493368702,0.31511254019292606,2.5128205128205128,1.7695128339444732,24.000000000000004,0.5434782608695652,3.125
GC Viljoen,415,-1.5541051185159755,-6.300000000000001,0.2682926829268293,0.6875,0.9952153110047863,10.857142857142858,0.3508771929824561,2.857142857142857,0.04225352112676006,35.333333333333336,0.3333333333333333,1.5
GD McGrath,520,0.15591279453864715,-17.623655913978492,0.2236842105263158,1.1333333333333333,0.5441176470588234,7.428571428571427,0.375,1.8,3.71965869165133,1.383838383838384,0.5906976744186047,3.96875
GHS Garton,238,1.833333333333334,-8.285714285714286,0.3333333333333333,3.0,2.1489361702127656,3.666666666666666,0.5833333333333334,3.5,-2.808146987608602,60.0,0.3050847457627119,1.2
GJ Maxwell,401,0.20220531138375364,-14.9375,0.19148936170212766,1.8,-0.310420821152797,-4.0530303030303045,0.3074141048824593,2.1794871794871793,-0.1608503228614957,-3.571428571428573,0.39106145251396646,1.8918918918918919
GS Sandhu,71,-2.1363636363636367,-13.0,0.16666666666666666,0.5714285714285714,-1.5280748663101615,27.0,0.11764705882352941,0.6666666666666666,-0.5862068965517242,23.0,0.5,1.5
Gagandeep Singh,377,-4.677419354838708,-8.5,0.20833333333333334,0.5,-0.7245283018867923,-3.6428571428571423,0.32075471698113206,1.8888888888888888,-3.8,9.0,0.5,1.5
HF Gurney,282,-1.7132075471698123,13.0,0.24528301886792453,0.7222222222222222,-0.6425368353619465,-10.142857142857142,0.21428571428571427,1.2857142857142858,3.079852579852579,-3.3999999999999986,0.42424242424242425,5.6
HH Pandya,220,-1.6098729582577125,3.0622895622895623,0.32894736842105265,1.2295081967213115,-0.0951340584416851,-0.3333333333333357,0.3293515358361775,2.218390804597701,-0.7919020715630891,-9.402597402597404,0.4212962962962963,1.75
HR Shokeen,288,-16.5,6.0,0.3333333333333333,0.4,-1.1749125437281354,-40.75,0.41379310344827586,3.0,-0.7891566265060241,-3.25,0.625,2.5
HV Patel,455,-0.1297256607561046,1.2006033182503781,0.3360655737704918,1.690721649484536,0.4088499133986865,0.30609896432681083,0.3565989847715736,2.4867256637168142,-0.8114250321597023,0.9881422924901173,0.38848920863309355,1.7142857142857142
