batter,batter_id,Active Ratio_death,Striking Ratio_death,True SR_death,True Avg_death,Active Ratio_middle,Striking Ratio_middle,True SR_middle,True Avg_middle,Active Ratio_powerplay,Striking Ratio_powerplay,True SR_powerplay,True Avg_powerplay
PBB Rajapaksa,603,0.6,0,-113.9393939,-17.33333333,0.684782609,0.287878788,27.80926872,0.6875,0.607142857,0.588235294,62.60869565,-10.06060606
PC Valthaty,512,0.772727273,0.727272727,9.090909091,-36,0.6,0.197802198,-3.776621847,-6.184210526,0.41697417,0.262135922,0.357525465,-4.025
PD Collingwood,151,0.720930233,0.344827586,24.63582929,6.5,0.630434783,0.101265823,-2.85938112,12.16666667,0.555555556,0.333333333,5.22875817,6.636363636
PJ Cummins,475,0.690322581,0.353535354,24.4153495,0.771448664,0.494117647,0.230769231,-4.357034796,6.818181818,0,0,-97.22222222,-7
PK Garg,51,0.722222222,0.347826087,31.37254902,2.964285714,0.666666667,0.085470085,-10.25212029,-9.344444444,0.5,0.172413793,-9.601043997,-5.785714286
PP Chawla,138,0.620481928,0.218253968,-12.03672823,-2.645091583,0.512195122,0.09929078,-10.22296803,4.25974026,0.416666667,0.375,9,-6.75
PP Shaw,503,0.619047619,0.357142857,-15.35181237,-3.25,0.761403509,0.239631336,14.40857514,-9.106237817,0.581794195,0.36259542,15.6493996,-5.494505495
PR Shah,220,0.684210526,0.25,-28.78289474,-6.75,0.527777778,0.166666667,-8.892885691,-18.06818182,0.466666667,0.125,-1.724137931,15.25
Q de Kock,97,0.873417722,0.553191489,23.3489268,-4.604166667,0.709722222,0.196043165,6.378840918,-1.714285714,0.558367347,0.270833333,10.34733777,2.846031746
R Ashwin,39,0.696875,0.20661157,-8.433724602,-2.441528545,0.656441718,0.076923077,-7.686693463,7.132142857,0.381818182,0.25,1.578576462,-1.264705882
R Bishnoi,550,0.5,0,-109.375,-11.75,0,0,-70.90909091,-5.571428571,0.357142857,0.272727273,25.86872587,-1
R Dravid,499,0.669491525,0.4,22.35776746,-1.088235294,0.692139738,0.153424658,-3.699799293,-0.923796987,0.475308642,0.249597424,1.90471748,19.50130719
R McLaren,358,0.696428571,0.181818182,-19.64285714,-1.9375,0.585106383,0.071428571,-16.25597047,24.03846154,0.470588235,0.066666667,-18.88544892,-22
R Parag,582,0.693467337,0.269503546,-10.79268731,-4.8125,0.625615764,0.139534884,-12.6171637,13.3452381,0,0,-94.66666667,-7.888888889
R Sathish,265,0.734513274,0.240506329,-6.826019524,3.482222222,0.588235294,0.111111111,-5.242129585,0.975,0,0,-105.2631579,-20
R Tewatia,188,0.714788732,0.338383838,3.452826185,5.502631579,0.57751938,0.111111111,-17.74087913,5.786046512,0.428571429,0.166666667,-10.33834586,-1.3
RA Jadeja,515,0.744680851,0.252336449,-6.900869078,-0.086206897,0.639175258,0.128700129,-4.020598946,13.62352941,0.456521739,0.257142857,27.32919255,17.4
RA Tripathi,212,0.651162791,0.258064516,7.469192526,-0.476190476,0.728813559,0.212189616,11.63580687,5.425066313,0.580223881,0.327176781,21.1003247,6.684157921
RD Gaikwad,205,0.797752809,0.403508772,22.01399194,-0.246153846,0.770083102,0.21299639,7.859548019,6.310077519,0.517316017,0.202739726,-8.47355543,0.644444444
RE van der Merwe,346,0.630434783,0.15,-31.8868558,-5.277777778,0.607142857,0.181818182,16.53846154,6.413333333,0.405405405,0.166666667,-16.98841699,-10
RG Sharma,255,0.737888199,0.394736842,19.93914572,3.534161491,0.682553564,0.158687466,-1.147161117,5.24562556,0.499635303,0.234242709,2.421001382,5.930165105
RJ Quiney,271,0.333333333,0,-31.37254902,-3.4,0.666666667,0.227272727,7.679238872,8.8,0.432835821,0.185185185,-10.07462687,-4.9375
RK Bhui,483,0,0,-66.66666667,-2,0.454545455,0,-43.50649351,-23,0,0,-108.1081081,-13.33333333
RK Singh,347,0.716216216,0.416666667,21.09519158,8.645454545,0.609090909,0.119565217,-20.96897115,-3.989547038,0.571428571,0.166666667,49.9047619,-0.833333333
RM Patidar,179,0.666666667,1.125,113.8888889,9.2,0.811320755,0.208333333,29.19876447,14.41666667,0.510638298,0.22972973,-1.370212766,24.7
RN ten Doeschate,306,0.71641791,0.291666667,13.06044037,1.731884058,0.670454545,0.169014085,-9.785042544,-2.854545455,0.428571429,0.166666667,9.398496241,-2.285714286
RR Pant,279,0.712435233,0.514767932,34.72952452,3.347132035,0.696150696,0.224973089,13.64073387,9.3600863,0.546099291,0.281553398,6.938931486,31.83809524
RR Rossouw,211,0.727272727,0.375,52.19941349,-0.25,0.588235294,0,-59.17366947,-13.81818182,0.363636364,0.166666667,-7.272727273,-5.428571429
RS Bopara,145,0.786407767,0.304347826,12.93852747,0.13362069,0.689655172,0.118343195,-13.73621718,29.80769231,0.514285714,0.117647059,-26.71274962,-10.69172932
RV Gomez,268,0.634146341,0.193548387,-8.972475267,-4.205128205,0,0,-78.68852459,-12,0,0,-74.35897436,-4.833333333
RV Uthappa,21,0.752411576,0.375,17.86163375,4.284167289,0.667596207,0.198424069,7.088583954,-1.353293808,0.554239401,0.257903494,4.682215923,6.171052632
Ramandeep Singh,132,0.818181818,1,42.12121212,2.6,0.608695652,0,-30.43478261,-1.818181818,0.666666667,0,-33.33333333,-16.5
S Anirudha,538,0.714285714,0.235294118,-4.089135654,-1.453846154,0.65625,0.103448276,-11.32575758,-4.8,0.407407407,0.227272727,-3.032562764,-9.833333333
S Badrinath,206,0.779026217,0.287234043,-1.432647535,-0.20890937,0.668613139,0.186567164,3.817190015,9.483516484,0.366812227,0.147368421,-20.79874274,12.67204301
S Dhawan,492,0.760989011,0.314285714,-3.698740284,9.35380117,0.724191063,0.179960448,1.570767765,1.04657622,0.563241107,0.248712667,-2.30150475,1.1650724
S Dube,178,0.694656489,0.293478261,3.822236736,0.284313725,0.647928994,0.202247191,11.82883342,3.022260274,0.4,0.088235294,-14.08554572,18.81481481
S Gopal,461,0.696078431,0.223684211,-1.397058824,1.976923077,0.508196721,0.072727273,-24.69104666,0.230769231,0,0,-81.08108108,-7.5
S Rana,266,0.782608696,0.21875,-37.832916,-6.833333333,0.333333333,0,-87.75100402,-19.33333333,0.363636364,0.166666667,14.19676214,13
S Sohal,613,0.333333333,0,-96.41577061,-8.023809524,0.68852459,0.239130435,23.47710362,-7.153846154,0.507042254,0.259493671,19.54851209,3.866666667
S Vidyut,339,0,0,-62.5,-5,0.633333333,0.285714286,-1.964285714,-5.5,0.546666667,0.333333333,23.52736318,-7.127272727
SA Yadav,273,0.696202532,0.39047619,13.11594552,1.474779139,0.699719364,0.187871581,4.003048408,4.504594017,0.547058824,0.348901099,14.34255454,28.29386344
SB Styris,409,0.740740741,0.238095238,-19.30747315,-3.31372549,0.588888889,0.102564103,-18.68686869,-2.972222222,0.666666667,0,-49.26253687,-13.83333333
SC Ganguly,321,0.717171717,0.375,20.78395899,-4.691919192,0.571656051,0.129943503,-7.830033966,1.601648352,0.463220676,0.213032581,-2.545464118,5.286220871
SD Chitnis,95,0.694444444,0.1,-28.5042735,-4.073333333,0.6,0.228571429,-12.53387534,18.16666667,0.166666667,0,-37.38738739,-4
SE Marsh,349,0.759493671,0.263157895,-0.638176878,-0.703030303,0.737341772,0.273775216,18.69852496,18.49883109,0.495798319,0.220248668,-8.711297541,11.13823529
SE Rutherford,12,0.585365854,0.290322581,-13.20021442,-4.411111111,0.541666667,0.045454545,-22.91666667,3.045454545,0.272727273,0,-60.93366093,-8
SK Raina,32,0.79766537,0.322580645,8.912880656,8.705929487,0.724197745,0.191265893,5.115221141,0.322073841,0.532693984,0.302774427,16.6719996,9.484738243
SM Curran,593,0.728070175,0.457142857,24.51503207,8.15,0.542372881,0.098039216,-19.76720441,-7.277777778,0.461538462,0.289473684,19.89966555,5.666666667
SM Katich,174,0.923076923,0.111111111,13.84615385,-22,0.62295082,0.195652174,-1.309535357,-11.25,0.528846154,0.328767123,25.68038686,5.642857143
SM Pollock,652,0.707317073,0.5,53.01668806,2.083333333,0.629032258,0.127272727,-13.61880963,12.94117647,0.166666667,0,-85.93073593,-14.8
SN Khan,249,0.774834437,0.381443299,11.01470423,5.333916084,0.64,0.150684932,-10.77706278,-7.522222222,0.576923077,0.324324324,6.876683628,1.466666667
SO Hetmyer,394,0.73880597,0.395348837,22.89132228,7.316176471,0.640186916,0.18452381,15.57902208,10.80555556,0.490196078,0.186046512,1.340923466,12.04545455
SP Goswami,18,0.714285714,0.125,-12.31950845,-7.566666667,0.613207547,0.120879121,-9.260893172,-4.558823529,0.5,0.167938931,-7.853011366,-3.564814815
SP Jackson,359,0.8,0.083333333,-15.35519126,0.119047619,0.5,0.125,-45.91919192,-15.625,0.444444444,0.285714286,-2.777777778,-3.666666667
SP Narine,545,0.577777778,0.180555556,-14.04720783,-3.098901099,0.619047619,0.38,45.37768865,-5.699523052,0.542234332,0.536796537,40.3975407,-8.196202532
SPD Smith,615,0.768115942,0.306338028,14.27951534,8.69052103,0.71692877,0.136522754,-1.981628397,4.646092431,0.574209246,0.240506329,1.899165358,18.46369637
SR Tendulkar,362,0.733333333,0.377777778,3.236121154,5.658119658,0.700621118,0.164596273,1.66482041,-0.671146953,0.529905561,0.260196906,5.629071479,9.054487179
SR Watson,146,0.759493671,0.425675676,19.21434079,-1.19673913,0.675968992,0.293176972,24.02819128,3.482385769,0.472154964,0.232510288,1.291385327,7.31039304
SS Iyer,579,0.751091703,0.297468354,8.214057241,-1.314882033,0.715365239,0.170706006,0.606351353,1.667558827,0.51372549,0.210613599,-3.989904,11.78248366
SS Tiwary,540,0.758169935,0.228699552,-11.97559484,3.737927292,0.653439153,0.138436482,0.821367404,9.45856648,0.512658228,0.2,-2.698663854,34.78378378
STR Binny,243,0.734375,0.251396648,2.936859522,5.38993135,0.604113111,0.176079734,5.124764498,-1.132575758,0.32,0.142857143,-20.01520913,5.9
SV Samson,187,0.769230769,0.429268293,23.60683761,0.430395913,0.715312725,0.185219832,10.05410492,4.731825186,0.519138756,0.235569423,-2.090136077,5.887252412
SW Billings,118,0.720588235,0.325581395,1.631601546,-8.297979798,0.658767773,0.148809524,-7.100527877,-5.35042735,0.604166667,0.285714286,6.942114094,6.204545455
Sachin Baby,119,0.689655172,0.342105263,-8.201304753,-2.333333333,0.58490566,0.068181818,-10.94911378,2.6,0,0,-81.57894737,-6.2
Salman Butt,402,0.666666667,2,111.827957,0,0.722222222,0.225,19.20885382,-2.7,0.442105263,0.256756757,6.93957115,4.673076923
Shahbaz Ahmed,414,0.638888889,0.230769231,-6.376811594,-3.9875,0.647887324,0.14159292,0.215893904,11.87368421,0.538461538,0.090909091,7.692307692,-1.6
Shahid Afridi,254,0.6,0.666666667,63.90243902,-1.8,0.444444444,0.125,-12.0327701,-10.6,0.705882353,0.777777778,111.7131063,-5.333333333
Shakib Al Hasan,371,0.746724891,0.218390805,-0.616716464,0.836363636,0.6545961,0.173144876,-5.088851504,0.97804878,0.472222222,0.2,-10.33697632,5.230769231
Shoaib Malik,607,0.714285714,0.166666667,-39.81264637,-11.66666667,0.730769231,0.047619048,-31.25,-8,0.666666667,0.333333333,23.24561404,2
Shubman Gill,482,0.716981132,0.18852459,-29.98757911,-3.17,0.72829582,0.167014614,2.379197442,8.67724246,0.582295989,0.23268206,-1.395554138,5.376960784
Sohail Tanvir,184,0.9,0,-32.66666667,-0.888888889,0.5,0.25,-10,-4.333333333,0.625,0.333333333,45.83333333,-1
Sunny Singh,626,0.5,0.142857143,-41.07142857,-3.125,0.714285714,0.272727273,36.23853211,-10.16666667,0.625,0.75,88.83333333,6.777777778
TL Suman,355,0.721153846,0.2,-7.196029777,9.233333333,0.639285714,0.172093023,9.447697112,13.75,0.438202247,0.2,-0.920544721,-7.691056911
TM Dilshan,120,0.788990826,0.347222222,-14.39830178,4.247619048,0.609195402,0.146067416,-11.98116408,-4.605975724,0.466042155,0.256880734,-7.696889887,-2.935406699
TM Head,69,0.818181818,0.333333333,-6.928104575,23.5,0.77027027,0.137931034,-6.339722512,12.57692308,0.294117647,0.071428571,-58.82352941,-15
Tilak Varma,644,0.762711864,0.317073171,-7.811348563,8.051282051,0.719047619,0.181818182,10.55555556,30.74285714,0.481481481,0.08,-39.85185185,2.466666667
UBT Chand,651,0.777777778,0.416666667,-41.97530864,-8.777777778,0.611940299,0.160377358,-7.567898214,-9.288461538,0.342857143,0.161016949,-20.12900778,-9.438095238
V Kohli,186,0.774193548,0.407142857,13.56631114,1.767332667,0.711798839,0.152427184,-3.710434194,10.19849855,0.556048835,0.22437276,-1.31303053,7.348908918
V Sehwag,520,0.727272727,0.65,45.29971245,1.035714286,0.765100671,0.369458128,46.9068264,5.58974359,0.574387947,0.376712329,24.23130197,0.341935484
V Shankar,203,0.752380952,0.255172414,11.64853759,7.173529412,0.677419355,0.129411765,-4.04365787,10.52058824,0.441176471,0.06557377,-51.5750087,-9.697368421
VR Iyer,310,0.75,0,-68.33333333,-4.166666667,0.676829268,0.190839695,-10.73705425,-2.129310345,0.516014235,0.234741784,-6.133192319,-5.604895105
VVS Laxman,208,0.6,0,-76.66666667,-7.25,0.767123288,0.169491525,-16.12716948,-22.60416667,0.483516484,0.181208054,-31.78194355,-8.282828283
WD Parnell,413,0.615384615,0.066666667,-34.29892892,-7.258333333,0.5,0,-49.85294118,-10.91666667,0.416666667,0.2,10.58558559,1
WP Saha,296,0.773255814,0.279475983,9.458402046,5.8190625,0.685,0.120610687,-9.26022864,0.685650056,0.539325843,0.315891473,10.91512008,2.407142857
Washington Sundar,201,0.691176471,0.279569892,6.33432272,-2.588607595,0.628865979,0.096385542,-12.91297714,4.595238095,0.434782609,0.052631579,-72.74247492,-11.75
Y Nagar,215,0.661157025,0.26744186,3.015185111,-1.664728682,0.608,0.054054054,-35.48852459,6.820512821,0.666666667,0,-26.57657658,-9.5
Y Venugopal Rao,463,0.744855967,0.279069767,7.689186719,2.527062999,0.605042017,0.14213198,-3.805319344,11.08726415,0.419354839,0.115384615,-7.510339123,13.39215686
YK Pathan,225,0.730205279,0.317021277,11.13332487,7.300273673,0.645262334,0.216768916,12.00579774,5.998092773,0.548523207,0.381818182,33.87124832,12.82352941
YV Takawale,632,0.9,1.666666667,115.2941176,14,0.774193548,0.173913043,12.72937995,-15.28571429,0.376923077,0.194174757,-7.263212977,7.811111111
Yashpal Singh,547,0.615384615,0.3,-26.80652681,-0.333333333,0.647058824,0,-11.10337626,-5.833333333,0.257142857,0.0625,-37.14285714,6
Yuvraj Singh,391,0.688659794,0.402515723,20.10028966,-0.285714286,0.56971831,0.180701754,-5.210274407,2.198601399,0.445652174,0.213793103,-2.819539026,1.347069597
Z Khan,513,0.542857143,0.152941176,-33.99986643,-2.483333333,0.310344828,0,-57.69278997,-5.666666667,0,0,-75.67567568,-9.333333333
